run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group
23240546434,MZ-CI,completed,success,2026-03-18T10:36:29Z,2026-03-18T10:46:16Z,587,9.8,582,9.7,4,0.1,2026-03-18T10:36:33Z,2026-03-18T10:46:15Z,fix-perftest-pipeline,pull_request,6121,pe-autotest
23194104384,MZ-CI,completed,success,2026-03-17T12:26:36Z,2026-03-17T12:49:40Z,1384,23.1,1350,22.5,33,0.6,2026-03-17T12:27:09Z,2026-03-17T12:49:39Z,t-babelfish-XE-14671-extref-custom-configmap-issue-develop,pull_request,5998,pe-autotest
23132583685,MZ-CI,completed,success,2026-03-16T07:27:57Z,2026-03-16T07:36:06Z,489,8.2,482,8.0,6,0.1,2026-03-16T07:28:03Z,2026-03-16T07:36:05Z,fix-perftest-pipeline,pull_request,6121,pe-autotest
23132576593,MZ-CI,completed,cancelled,2026-03-16T07:27:41Z,2026-03-16T07:28:01Z,20,0.3,16,0.3,3,0.1,2026-03-16T07:27:44Z,2026-03-16T07:28:00Z,fix-perftest-pipeline,pull_request,6121,pe-autotest
23048108346,MZ-CI,completed,success,2026-03-13T11:08:30Z,2026-03-13T11:27:41Z,1151,19.2,1147,19.1,3,0.1,2026-03-13T11:08:33Z,2026-03-13T11:27:40Z,t-babelfish-XE-14671-extref-custom-configmap-issue-develop,pull_request,5998,pe-autotest
22964111521,MZ-CI,completed,success,2026-03-11T16:50:54Z,2026-03-11T17:12:11Z,1277,21.3,1268,21.1,8,0.1,2026-03-11T16:51:02Z,2026-03-11T17:12:10Z,t-babelfish-XE-14671-extref-custom-configmap-issue-develop,pull_request,5998,pe-autotest
22896536782,MZ-CI,completed,success,2026-03-10T09:47:06Z,2026-03-10T09:55:06Z,480,8.0,475,7.9,5,0.1,2026-03-10T09:47:11Z,2026-03-10T09:55:06Z,operator-error,pull_request,6083,pe-autotest
22875089602,MZ-CI,completed,success,2026-03-09T21:14:12Z,2026-03-09T21:22:51Z,519,8.7,514,8.6,4,0.1,2026-03-09T21:14:16Z,2026-03-09T21:22:50Z,operator-error,pull_request,6083,pe-autotest
22875089024,MZ-CI,completed,cancelled,2026-03-09T21:14:11Z,2026-03-09T21:14:14Z,3,0.1,1,0.0,1,0.0,2026-03-09T21:14:12Z,2026-03-09T21:14:13Z,operator-error,pull_request,6083,pe-autotest
22875088776,MZ-CI,completed,cancelled,2026-03-09T21:14:10Z,2026-03-09T21:14:13Z,3,0.1,1,0.0,1,0.0,2026-03-09T21:14:11Z,2026-03-09T21:14:12Z,operator-error,pull_request,6083,pe-autotest
